1,0.0614895,30,0,0
0,0.00199214,30,0,0
1,0.0614895,30,0,0
1,0.0689215,30,-0.01,0
0,0.0181344,30,0.14,1
0,0.0163264,30,0,0
1,0.0176302,30,0.215,1
0,0.0831785,30,0,0
0,0.058971,30,-0.5501,0
1,0.0199188,30,0,0
0,0.0222213,30,0,0
0,0.079745,30,0,0
0,0.0154928,30,0,0
0,0.018897,30,0,0
1,0.0235603,30,0.17,1
1,0.0761915,30,0.005,1
1,0.00713105,30,-0.0024,0
0,0.0168389,30,0.0601,1
0,0.0056045,30,0,0
1,0.0631545,30,0.03,1
0,0.061345,30,-0.01,0
0,0.157702,30,0.01,1
0,0.059614,30,0,0
0,0.0587935,30,-0.005,0
0,0.0909065,30,0,0
